자치구,동,인구,면적,인구밀도
강남구,서울특별시 강남구 개포2동,"22,297",2.51,"8,883"
송파구,서울특별시 송파구 풍납1동,"14,585",0.77,"18,942"
송파구,서울특별시 송파구 풍납2동,"25,703",1.59,"16,165"
송파구,서울특별시 송파구 거여1동,"13,077",0.51,"25,641"
송파구,서울특별시 송파구 거여2동,"19,330",0.53,"36,472"
송파구,서울특별시 송파구 마천1동,"19,909",0.58,"34,326"
송파구,서울특별시 송파구 마천2동,"19,719",0.89,"22,156"
송파구,서울특별시 송파구 방이1동,"16,298",0.5,"32,596"
송파구,서울특별시 송파구 방이2동,"26,675",0.8,"33,344"
송파구,서울특별시 송파구 오륜동,"18,495",3.17,"5,834"
송파구,서울특별시 송파구 오금동,"39,668",1.65,"24,041"
송파구,서울특별시 송파구 송파1동,"25,190",0.79,"31,886"
송파구,서울특별시 송파구 송파2동,"20,800",0.53,"39,245"
송파구,서울특별시 송파구 석촌동,"33,166",0.95,"34,912"
송파구,서울특별시 송파구 삼전동,"31,839",0.95,"33,515"
송파구,서울특별시 송파구 가락본동,"27,368",1.13,"24,219"
송파구,서울특별시 송파구 가락1동,"27,876",1.34,"20,803"
송파구,서울특별시 송파구 가락2동,"33,204",0.96,"34,588"
송파구,서울특별시 송파구 문정1동,"20,868",0.56,"37,264"
송파구,서울특별시 송파구 문정2동,"29,547",2.2,"13,430"
송파구,서울특별시 송파구 잠실본동,"29,093",0.94,"30,950"
송파구,서울특별시 송파구 잠실4동,"21,798",1.56,"13,973"
송파구,서울특별시 송파구 잠실6동,"17,366",2.79,"6,224"
송파구,서울특별시 송파구 잠실7동,"9,903",0.6,"16,505"
송파구,서울특별시 송파구 잠실2동,"36,216",2.18,"16,613"
송파구,서울특별시 송파구 잠실3동,"35,497",1.49,"23,823"
송파구,서울특별시 송파구 장지동,"30,370",1.37,"22,168"
송파구,서울특별시 송파구 위례동,"30,366",2.55,"11,908"
강동구,서울특별시 강동구 강일동,"35,778",2.8,"12,778"
